     8      1.498925302953      0.000174846828      
    10      1.482792175245      0.000236021755     
    12      1.470949398170      0.000169117688      
    14      1.463228161724      0.000421785884      
    16      1.458030797605      0.000339571078      
    18      1.454751211204      0.000329488609      
    20      1.452446179396      0.000261816960     
    24      1.449434296726      0.000413627251      
    28      1.448738935140      0.000264827478      
    32      1.446881214384      0.000210253931     
