   
0.23 0.894 0.033 0.02
0.37 0.854 0.02 0.025
0.493 0.79 0.023 0.04
0.60 0.748 0.03 0.02
0.75 0.642 0.06 0.006
1.071 0.48 0.017 0.016
1.38 0.317 0.02 0.011
